  2    00 03 49.    5.  -00 23.    7.    99  -61    15.0    < 5. "
  6.1  00 14 12.   30.   79 24.   45.   121   17    16.0      2.5' 1.5
  9    00 17 50.    5.   15 23.    8.   112  -47    15.0    < 3.0'
 10    00 22 48.1   2.0  63 50.7   2.0  120    1   134.       6.6' 0.8
 11.1  00 27 06.   18.   63 24.   45.   121    1    11.5    < 2.5'
 13    00 31 35.    5.   39 03.    4.   119  -23    10.5*   <20. "
 14    00 33 30.6   3.0  18 20.7   3.0  118  -44     9.5*   <20. "
 14.1  00 33 36.   18.   59 30.   45.   121   -3    14.0    < 2.0'
 15    00 34 33.    6.  -01 31.    5.   115  -64    14.5*   <40. "
 16    00 35 06.    6.   12 50.   16.   118  -50    11.5*   < 1.0'
 17    00 35 52.    5.  -02 16.   14.   115  -65    21. *   <40. "
 19    00 38 14.    6.   32 54.    4.   120  -30     9.0*   <12. "
 18    00 38 15.    7.   09 54.    7.   119  -53    23. *   <40. "
 20    00 40 19.9   1.0  51 46.0   1.5  122  -11    41. *   < 1.0'
 21.1  00 42 30.   18.   67 48.   45.   122    5     9.0    < 3.0'
 22    00 48 06.2   3.0  50 56.7   3.0  123  -12    14.5    < 2.0'
 27    00 52 42.    3.   68 13.   10.   123    6    24.     < 2.0'
 28    00 53 09.4   1.0  26 07.9   1.0  124  -37    14.0    < 3.0'
 29    00 55 03.    4.  -01 35.   10.   127  -64    15.0    < 3.0'
 31    01 04 42.0   3.0  32 07.5   3.0  127  -30    15.5      2.5' 1.5
 33    01 06 13.7   1.0  13 04.3   1.5  129  -49    49.       2.0' 1.0  Complex brightness distribution.
 33.1  01 06 24.   18.   72 54.   60.   124   10    12.0    < 2.5'
 33.2  01 06 54.   18.   69 06.   60.   125    7     9.0    < 4.0'
 34    01 07 32.4   3.0  31 30.1   3.0  128  -31    11.0    < 2.5'
 35    01 09 07.1   3.0  49 10.3   3.0  126  -13    12.5      3.2' 2.0
