Results from heasarc_nvss: NRAO VLA Sky Survey Catalog
Coordinate system:  Equatorial
lii      |bii      |flux_20_cm|flux_20_cm_error
120.06405| 20.13759|    1000.2|            31.7
 46.50981| -0.23226|    1000.6|            30.6
 94.97621| 45.81532|    1000.6|            32.2
 74.78964| -6.52180|    1000.7|            30.0
 36.70636| 14.87495|    1000.7|            34.4
351.19899|  0.46600|    1001.0|            31.9
138.08880| 38.05573|    1001.0|            30.5
337.99689| 22.73400|    1001.3|            35.1
359.16284|-25.36620|    1001.6|            35.3
132.76686|-36.21369|    1002.5|            30.1
 38.56836|  9.54498|    1002.5|            30.1
278.56011| 41.72284|    1002.9|            30.1
 24.39809|  0.07188|    1002.9|            31.3
357.25498| 57.94096|    1003.0|            34.9
357.10158| 59.30951|    1004.0|            30.9
 85.11992|-35.09711|    1004.4|            30.1
107.40443|-48.88796|    1004.8|            31.9
183.84379| 44.17251|    1004.9|            30.1
155.28266| 23.58418|    1006.6|            30.2
 18.34678|-35.32396|    1006.7|            31.1
 77.33384|  1.25549|    1006.8|            36.6
123.78183|  3.99127|    1008.1|            30.2
283.07898| 71.56940|    1008.3|            30.3
218.42849| 15.28919|    1008.5|            31.6
 96.86032|-71.59181|    1008.5|            32.1
171.37166|-17.16255|    1009.2|            30.3
 69.36299| 18.20748|    1009.5|            35.7
 84.26890| -5.76136|    1009.5|            30.3
260.10745| 77.25284|    1010.2|            30.3
  2.88582|-72.31859|    1010.3|            32.6
 99.23653| 43.33016|    1010.3|            35.7
143.32165|-38.18685|    1010.4|            30.3
214.09607|-25.20145|    1010.4|            30.3
183.29262| 24.24826|    1010.5|            30.3
205.46167|-46.32054|    1010.6|            38.5
 90.26301|  8.20403|    1011.0|            33.7
 74.91965|  1.15978|    1011.2|            30.9
 91.12226|  1.58839|    1011.7|            31.0
124.44898|  6.55478|    1011.9|            31.6
252.24772| 22.46116|    1012.0|            35.1
 75.88641|  9.12293|    1012.3|            32.8
334.35476| 38.57289|    1012.5|            35.6
178.55870|-20.87568|    1013.1|            34.7
146.49042|  9.48426|    1013.1|            30.4
240.71367|-24.28725|    1013.6|            35.7
 71.73930|-30.06402|    1013.7|            37.8
 99.39563| 17.89616|    1013.8|            30.4
178.87355|-36.27037|    1014.0|            30.4
 62.64421|-29.43926|    1014.1|            30.4
255.81443| -3.26870|    1014.1|            33.7
173.31111| 72.69003|    1014.1|            35.2
 62.46084| 14.82839|    1014.4|            30.4
152.79678|-48.44183|    1014.5|            32.0
229.70454|-14.34038|    1014.9|            35.7
114.31190| 33.40964|    1015.0|            32.9
148.38211|-38.68787|    1015.1|            33.9
 55.03047|-58.00428|    1015.7|            30.5
227.34620|-76.44661|    1016.6|            35.6
202.54131|-83.86717|    1016.8|            30.5
  0.79446| -0.19314|    1016.8|            30.9
259.89989| 17.06039|    1017.2|            32.6
175.70043| 44.81560|    1017.2|            30.5
109.65007|  4.23677|    1017.3|            30.5
354.10607|  5.94724|    1017.3|            36.9
253.66901| 56.13616|    1017.7|            35.8
 33.57077|-34.99765|    1018.1|            30.5
 70.02606|  8.09027|    1018.3|            30.6
 62.79622| 20.99867|    1018.6|            30.6
  6.55247| -0.09552|    1018.8|            37.4
169.78230| 22.76818|    1018.9|            30.6
277.33620|-81.42730|    1019.1|            30.6
 24.90166|-67.56715|    1019.2|            32.8
111.87151| 30.21806|    1019.2|            30.6
103.89032|-46.09216|    1019.4|            30.6
 74.83922|-34.52158|    1019.4|            30.6
 87.95867| 77.87207|    1019.7|            34.9
228.54810|-16.12590|    1019.9|            35.7
206.72317|  8.44175|    1020.4|            34.4
 25.12097|-47.83571|    1020.7|            31.5
158.19672|-34.09865|    1020.7|            33.2
220.85135| 77.87575|    1021.2|            30.6
272.57740| 28.10943|    1021.5|            30.6
146.72445| 50.92664|    1021.8|            30.7
 55.61652|-55.14778|    1021.9|            30.7
 13.26583| 27.38138|    1022.2|            30.7
 52.24485| 23.97318|    1022.2|            30.7
112.04658| -2.37508|    1022.6|            31.3
 18.15894|-39.94021|    1023.3|            35.9
145.01176|-31.09297|    1023.5|            35.0
 11.10502| 35.98141|    1024.0|            33.9
206.06142| 41.81838|    1024.5|            36.2
189.47705|-67.34367|    1024.7|            36.0
 16.71698| 36.50120|    1024.8|            35.9
 20.72692|-43.40219|    1024.9|            35.0
233.10342| -1.96589|    1025.2|            35.8
 17.74177|-39.58431|    1025.6|            35.3
331.16388| 61.99234|    1026.4|            36.0
243.37270| 32.72195|    1026.5|            30.8
141.45852|-57.26651|    1026.7|            30.8
 43.72739|-57.97440|    1026.7|            34.7
 97.33117|-41.40645|    1026.7|            30.8
135.83233|-24.93057|    1026.8|            30.8
354.60650|  0.47721|    1027.4|            34.3
349.94107| 45.62340|    1027.7|            30.8
 54.01453|-65.57953|    1027.7|            33.2
 50.52137| 32.73999|    1027.8|            36.2
  0.68975| -0.04355|    1028.1|            34.7
 95.96914| 57.59587|    1028.3|            30.9
279.78838| 47.97535|    1028.3|            31.8
 86.83448| 64.54889|    1028.4|            30.9
190.08927| -2.16674|    1028.6|            30.9
 76.04497| 26.94033|    1028.7|            32.3
282.17343| 51.07362|    1029.4|            30.9
182.70469| 47.71170|    1029.5|            30.9
234.06352|  2.99704|    1029.9|            34.6
180.32911| 66.21171|    1029.9|            39.6
103.87349|-33.53293|    1030.0|            30.9
  3.12691| 25.87051|    1030.2|            30.9
232.45232|-19.17925|    1030.2|            36.5
327.02866| 16.83272|    1030.5|            36.2
 70.41946| 24.78664|    1030.6|            30.9
 31.47391| 39.33885|    1030.7|            30.9
199.51648|  6.03630|    1032.0|            31.0
122.14981| 11.86899|    1032.1|            31.0
261.31229| 48.85482|    1033.1|            31.0
237.01115|-25.95858|    1033.6|            36.0
117.12103|-64.47965|    1033.6|            35.9
117.90921|-50.28483|    1033.9|            31.0
176.36065|-24.24238|    1034.1|            31.0
188.67479| 62.66584|    1034.4|            31.0
174.11734| 53.00308|    1034.4|            36.1
228.68853| -3.15443|    1034.5|            40.4
 74.36853| 38.47739|    1035.1|            31.1
 88.92653| 21.92444|    1035.3|            33.1
228.64256|-25.22208|    1035.5|            36.1
322.22455| 20.93001|    1035.8|            35.6
 29.33411|  5.31125|    1035.9|            31.1
 99.64166|  8.30256|    1035.9|            36.2
163.49594|-67.09289|    1036.0|            31.1
246.14636| 17.11514|    1036.6|            35.2
254.73407|  1.46681|    1036.6|            36.0
 92.12354| 26.12585|    1036.7|            31.1
140.26224| 32.42711|    1036.7|            36.5
351.15032| 46.63573|    1037.3|            36.2
100.01018| 16.38345|    1037.3|            36.3
  8.57385|-24.73936|    1037.4|            31.1
225.06715| 40.16760|    1037.6|            31.1
  2.95210| 26.48727|    1037.8|            35.9
316.07992| 29.82805|    1039.2|            32.6
192.79667| 10.35254|    1039.5|            35.8
137.54652|  3.96482|    1039.8|            38.2
200.45726|-45.79952|    1040.1|            31.2
355.23760| 46.50530|    1040.3|            31.2
346.03024| 30.66970|    1040.9|            31.2
149.33430| 19.77407|    1041.0|            36.2
141.33720| 22.90853|    1041.0|            31.2
141.05828|-38.60124|    1041.1|            31.2
 14.91703| -0.97669|    1041.2|            32.0
134.25630| 18.47242|    1041.6|            34.1
179.87439| -2.82986|    1042.0|            36.8
172.97862|  2.44126|    1042.3|            36.7
 37.97021|-19.07110|    1042.3|            36.5
154.08898| 23.39960|    1043.3|            36.6
126.60331| 19.53280|    1043.4|            31.3
225.24642|-12.92064|    1043.5|            36.8
189.15785| 25.46128|    1043.7|            31.3
 52.81031| 33.72451|    1043.9|            31.3
235.55251| -9.27256|    1044.2|            35.3
208.17860|-22.74046|    1044.3|            31.3
 49.20952| -0.96622|    1044.3|            35.3
 39.35736|-26.32356|    1044.6|            31.3
326.09934| 35.03198|    1044.8|            36.6
221.90494|-22.00649|    1045.4|            36.9
228.50799| -8.61852|    1045.7|            31.4
