   RA(2000)  Dec(2000)    Flux
 h  m    s    d  m   s      Jy
00 24 11.00 +51 07 50.8   1.50
00 24 13.09 +44 24 45.8   1.12
00 24 13.32 +38 35  7.7   1.55
00 24 14.05 +04 37  3.9   0.99
00 24 16.31 +25 10 50.0   1.17
00 24 16.38 -23 29 59.1   0.71
00 24 18.38 +17 46 30.0   0.48
00 24 18.41 +58 20 50.8   0.73
00 24 18.81 +39 48 55.0   0.55
00 24 19.55 -31 18 56.7   0.82
00 24 20.62 +30 42 14.2   0.69
00 24 21.53 +10 31 54.1   1.14
00 24 22.04 +46 44  8.1   1.71
00 24 22.32 +12 40 39.3   0.42
00 24 22.32 +51 02 36.1   0.74
00 24 22.62 +16 13 46.9   0.56
00 24 23.35 +13 17 13.5   0.69
00 24 24.11 +29 15  6.0   2.46
00 24 24.36 +40 39 53.2   0.51
00 24 25.52 +39 29 53.8   1.09
00 24 25.73 -02 47 17.3   0.98
00 24 26.98 -25 31 41.3   1.21
00 24 27.26 +08 38  4.6   2.05
00 24 27.33 -28 00  1.3   2.67
00 24 27.55 +26 33 58.6   0.64
00 24 28.46 -16 09  1.6   1.28
00 24 29.57 +48 55 42.4   1.99
00 24 29.71 +50 13 20.8   0.61
00 24 30.30 -29 28 51.1  26.13
00 24 31.46 +16 51 45.9   1.28
00 24 32.16 +56 29  9.3   2.56
00 24 33.17 +23 44 28.8   1.09
00 24 33.85 -09 39 43.7   2.03
00 24 33.98 +16 42 47.7   0.38
00 24 34.01 +06 39 34.9   0.68
00 24 34.28 +08 25 48.5   0.45
00 24 34.65 +19 04 52.3   0.39
00 24 35.33 +34 56  8.9   1.46
00 24 35.48 -08 10 10.6   0.73
00 24 35.48 +04 51 15.9   0.44
00 24 37.79 +06 43 26.2   1.40
00 24 37.95 -28 53  8.4   0.51
00 24 39.24 +18 55 37.2   2.73
00 24 39.64 -08 31 19.9   1.89
00 24 41.73 -02 32 21.1   1.35
00 24 42.02 +07 31 34.0   1.40
